package,version_code,url,status,sha256,size_bytes
app.organicmaps,26072306,https://f-droid.org/repo/app.organicmaps_26072306.apk,OK,db8ca5ec2e2a879470c8fd36a46a83a04c93a70488e46b881d9622bf1420c329,64045154
ch.logixisland.anuto,34,https://f-droid.org/repo/ch.logixisland.anuto_34.apk,OK,3b57a70201d631d081ff480e8b958a6a7dd6fdc116d611bd1b66e76e3f06ccd9,6297049
com.dozingcatsoftware.bouncy,43,https://f-droid.org/repo/com.dozingcatsoftware.bouncy_43.apk,OK,ffda0d9cb0b1b2aa58be9559dda891c4fa24391bc481d297a8e3d96c31f62721,3233743
com.gpl.rpg.AndorsTrail,86,https://f-droid.org/repo/com.gpl.rpg.AndorsTrail_86.apk,OK,a5d98757657397b4c417c222448033811c0396b701791ba2930f5adee9f3f687,100690664
com.money.manager.ex,1115,https://f-droid.org/repo/com.money.manager.ex_1115.apk,OK,59fac8a8fa48adec9cb1d6887de7366111195b4caf527caeb05369c908eb2aaf,53580867
com.shatteredpixel.shatteredpixeldungeon,896,https://f-droid.org/repo/com.shatteredpixel.shatteredpixeldungeon_896.apk,OK,be901407280a5b3b281969e068f725ed5d52c9cd9a7b55013de68487ad419ec4,29918038
com.unciv.app,1251,https://f-droid.org/repo/com.unciv.app_1251.apk,OK,818c4df23b46708b10b707e558745f1546c7d759b28bb6e4ad9aeeeb5f09471f,27215692
jwtc.android.chess,284,https://f-droid.org/repo/jwtc.android.chess_284.apk,OK,4d3ac77efbbd3da030899937e9ba8d4ef472b813b6d8aa939b56326232bbe3b2,3375595
net.minetest.minetest,5160001,https://f-droid.org/repo/net.minetest.minetest_5160001.apk,OK,a9e70c41de7dd959a35a44eda8c727012d920a302bc311ec78c4540b056bd57b,42193938
net.osmand.plus,531003,https://f-droid.org/repo/net.osmand.plus_531003.apk,OK,27f1eb82d288a9939b7c0bdd0fb94f78749824ffc753d32d421e01cbe487e5e0,162183115
org.mozilla.fennec_fdroid,1530320,https://f-droid.org/repo/org.mozilla.fennec_fdroid_1530320.apk,OK,384f4d1f7841c8c6a4dd789bbb5482169c4ef33f39dba450ca90a3c980aeffb2,126633728
org.schabi.newpipe,1015,https://f-droid.org/repo/org.schabi.newpipe_1015.apk,OK,1d66d19eedbab969b1be2e44e0ea35f5f8921cbe83b5c5ac810767ca1a84b7e8,11507122
org.secuso.privacyfriendlysudoku,101,https://f-droid.org/repo/org.secuso.privacyfriendlysudoku_101.apk,OK,1aff917f4ac9952bd956f2b19589787b015decc23b4c13268d19f1437c68b5b3,5192839
org.videolan.vlc,13070108,https://f-droid.org/repo/org.videolan.vlc_13070108.apk,OK,4a9144fadfd8606cc5c0e9db892fd24846b7b2efeb1630db5377955d1612b119,49444910
org.xbmc.kodi,2103001,https://f-droid.org/repo/org.xbmc.kodi_2103001.apk,OK,2ced80c56809f73a21726cefc406233cc143566333cea6882af67576a0852407,181782325
