sample_name,full_path,source,size_bytes,error_type
003C21AB143A69FFA42BC4110A23B17F2F6CBCDA8248F70FD3DB523A331CA549.apk,samples/goodware/benign_eval/003C21AB143A69FFA42BC4110A23B17F2F6CBCDA8248F70FD3DB523A331CA549.apk,benign_eval,3093020,error: Step 4 (Payload Decoding) failed: UnicodeEn
00116CA636EF6D3067A5D25FB5DD493F06CEFDE9C6BA80F2C2F3F371050323BE.apk,samples/goodware/benign_eval/00116CA636EF6D3067A5D25FB5DD493F06CEFDE9C6BA80F2C2F3F371050323BE.apk,benign_eval,7581137,error: Step 4 (Payload Decoding) failed: UnicodeEn
PixRevolution_557c02b5e9ca8103e6ad5413df1b447fae5c9ce086a0b5330bf9c79a578585df.apk,samples/malware/abusech/PixRevolution_557c02b5e9ca8103e6ad5413df1b447fae5c9ce086a0b5330bf9c79a578585df.apk,MalwareBazaar,8406437,error: timeout after 450s
unknown_1370ba86f4c12ff1a8a0dd987b2be79a6ed13f7765e05b9711c544a7a2f288ea.apk,samples/malware/abusech/unknown_1370ba86f4c12ff1a8a0dd987b2be79a6ed13f7765e05b9711c544a7a2f288ea.apk,MalwareBazaar,9407977,error: timeout after 450s
004E0FC20F0108396635E3B39B96753678578B1AF80E07D3BBC9410CD2DA91FA.apk,samples/goodware/benign_eval/004E0FC20F0108396635E3B39B96753678578B1AF80E07D3BBC9410CD2DA91FA.apk,benign_eval,14257877,error: Pipeline finished but produced no result
PixRevolution_8e39fb18e8acb2e4fc4bcd7db2efc320f5ec84100e8ba870fd24dd13a6584277.apk,samples/malware/abusech/PixRevolution_8e39fb18e8acb2e4fc4bcd7db2efc320f5ec84100e8ba870fd24dd13a6584277.apk,MalwareBazaar,15976693,error: Pipeline finished but produced no result
0048E3EA6C336AC88D9AFFB5496EB7B842A310382D7B60183BA669597A3E8C4D.apk,samples/goodware/benign_eval/0048E3EA6C336AC88D9AFFB5496EB7B842A310382D7B60183BA669597A3E8C4D.apk,benign_eval,16787195,error: Step 4 (Payload Decoding) failed: UnicodeEn
unknown_2ab29825e9454a4b87d661dfc55842943e30b86600d2848796d96241e92307c2.apk,samples/malware/abusech/unknown_2ab29825e9454a4b87d661dfc55842943e30b86600d2848796d96241e92307c2.apk,MalwareBazaar,22878095,error: Pipeline finished but produced no result
001EDAB5B63B6A94CDA6811186240977B28B1B7CE0B1A4AD33AF15B4457E6981.apk,samples/goodware/benign_eval/001EDAB5B63B6A94CDA6811186240977B28B1B7CE0B1A4AD33AF15B4457E6981.apk,benign_eval,38819716,error: timeout after 900s
0010F7867D28539C1A89D35DEDDC910F378F44586A0EA1BFCEA2C004981ABAE1.apk,samples/goodware/benign_eval/0010F7867D28539C1A89D35DEDDC910F378F44586A0EA1BFCEA2C004981ABAE1.apk,benign_eval,40480065,error: Pipeline finished but produced no result
003D5EAFA4D0B58C8BC9F43543E63EC58D2CF427EFD9742076BE0CB0D6C8D3F7.apk,samples/goodware/benign_eval/003D5EAFA4D0B58C8BC9F43543E63EC58D2CF427EFD9742076BE0CB0D6C8D3F7.apk,benign_eval,43274080,error: Pipeline process exited with code -9
