sha10,family,source,num_perms,total_strings,note
000027d1da,AndroidOS,AndroZoo,109,1023,no C2 extracted - needs manual review
0000237117,Secapk,AndroZoo,95,151,no C2 extracted - needs manual review
0000511d5c,Android/Packed,AndroZoo,12,1316,no C2 extracted - needs manual review
000091f2fa,Adware,AndroZoo,13,986,no C2 extracted - needs manual review
0000a053de,AndroidOS,AndroZoo,16,3935,no C2 extracted - needs manual review
018f8548c0,AndroidOS,abusech,0,4824,no C2 extracted - needs manual review
03385b42f9,Opfake,androzoo_drebin,1,7,no C2 extracted - needs manual review
4dfc06d393,Android/Agent,modern_eval,0,0,no C2 extracted - needs manual review
03a2c97e0e,AndroidOS,androzoo_drebin,7,45,no C2 extracted - needs manual review
07e47fbf43,Opfake,androzoo_drebin,20,323,no C2 extracted - needs manual review
0bc98459a4,SpyNote,modern_eval,0,0,no C2 extracted - needs manual review
aa12733db9,Application,modern_eval,0,0,no C2 extracted - needs manual review
1f30b62c19,unknown,modern_eval,0,0,no C2 extracted - needs manual review
208e85cc66,GenericKD,abusech,0,0,no C2 extracted - needs manual review
255eae7859,Nisev,androzoo_drebin,3,4,no C2 extracted - needs manual review
27adebb28c,AndroidOS,androzoo_drebin,13,23,no C2 extracted - needs manual review
269a98c5a2,NGate,abusech,0,58,no C2 extracted - needs manual review
2cc755a2c9,GhostBat,modern_eval,7,155,no C2 extracted - needs manual review
2ab29825e9,Agent,abusech,0,1996,no C2 extracted - needs manual review
3063914cc1,AndroidOS,modern_eval,6,1049,no C2 extracted - needs manual review
315e29c580,Opfake,androzoo_drebin,20,297,no C2 extracted - needs manual review
345bbac79d,SpyMax,abusech,14,13247,no C2 extracted - needs manual review
3502fa570a,Dropper,abusech,25,567,no C2 extracted - needs manual review
3779e67d69,GenericKD,abusech,0,55,no C2 extracted - needs manual review
3a03b35a4c,unknown,modern_eval,0,86,no C2 extracted - needs manual review
3c0edd3c80,SpyNote,modern_eval,29,303,no C2 extracted - needs manual review
388d7fd938,unknown,modern_eval,0,86,no C2 extracted - needs manual review
43f62b4cca,FakeInst,androzoo_drebin,4,67,no C2 extracted - needs manual review
44c68a4b47,Agent,abusech,0,5959,no C2 extracted - needs manual review
4ccf02c87d,GenericKD,abusech,34,3222,no C2 extracted - needs manual review
5010f34461,Opfake,androzoo_drebin,1,8,no C2 extracted - needs manual review
5030b673a6,Opfake,androzoo_drebin,12,14,no C2 extracted - needs manual review
51f9c37c3e,BankBot,abusech,21,1471,no C2 extracted - needs manual review
518f5438a2,unknown,modern_eval,0,86,no C2 extracted - needs manual review
