domain,count,tier_suggestion
link.adtidy.org,8,tier3_allowlist_candidate
liberapay.com,7,tier3_allowlist_candidate
www.aelf.org,7,tier3_allowlist_candidate
linphone.org,6,tier3_allowlist_candidate
1.3.6.1,5,tier3_allowlist_candidate
a.tile.opentopomap.org,5,tier3_allowlist_candidate
b.tile.opentopomap.org,5,tier3_allowlist_candidate
c.tile.opentopomap.org,5,tier3_allowlist_candidate
opencollective.com,5,tier3_allowlist_candidate
auroraoss.com,5,tier3_allowlist_candidate
json-schema.org,5,tier3_allowlist_candidate
codedead.com,5,tier3_allowlist_candidate
addismaptransit.com,5,tier3_allowlist_candidate
addy.io,5,tier3_allowlist_candidate
vnd.sun.j2me.app,4,tier3_allowlist_candidate
uces-77ndc.nigiro.lss,4,tier3_allowlist_candidate
4.1.188.7,4,tier3_allowlist_candidate
1.101.3.4,4,tier3_allowlist_candidate
0.25.sp,4,tier3_allowlist_candidate
0.0001f.sp,4,tier3_allowlist_candidate
x,4,tier3_allowlist_candidate
openptmap.org,4,tier3_allowlist_candidate
crowdin.com,4,tier3_allowlist_candidate
default.url,4,tier3_allowlist_candidate
maps.wikimedia.org,4,tier3_allowlist_candidate
tiles.wmflabs.org,4,tier3_allowlist_candidate
microg.org,4,tier3_allowlist_candidate
keepandroidopen.org,4,tier3_allowlist_candidate
reports.exodus-privacy.eu.org,4,tier3_allowlist_candidate
codeberg.org,4,tier3_allowlist_candidate
sponsor.joinmastodon.org,4,tier3_allowlist_candidate
conversations.im,4,tier3_allowlist_candidate
creativecommons.org,4,tier3_allowlist_candidate
godotengine.org,4,tier3_allowlist_candidate
google.github.io,4,tier3_allowlist_candidate
8vim.github.io,4,tier3_allowlist_candidate
subscribe.linphone.org,4,tier3_allowlist_candidate
cowboyprogrammer.org,4,tier3_allowlist_candidate
tile.waymarkedtrails.org,4,tier3_allowlist_candidate
www.wireless-village.org,4,tier3_allowlist_candidate
vnd.dece.video,3,tier3_allowlist_candidate
norblieh-sh.ti.segap,3,tier3_allowlist_candidate
ved-naissalta.dorp.ndc,3,tier3_allowlist_candidate
domain.com,3,tier3_allowlist_candidate
netty.io,3,tier3_allowlist_candidate
openssh.com,3,tier3_allowlist_candidate
googlemail.com,3,tier3_allowlist_candidate
a.tile.cloudmade.com,3,tier3_allowlist_candidate
b.tile.cloudmade.com,3,tier3_allowlist_candidate
c.tile.cloudmade.com,3,tier3_allowlist_candidate
