sha,is_mal,orig_c2,tier3_filtered,kept_c2
00001f58c32e40376f64cc88b70f8fad2fda054e0863abd5e41f4c6f18a65da2,1,12,0,12
00000a7eacfd7e392ea3aaee14bec0224e62bf72823a8101f6717d704dce3a79,1,5,0,5
000026e846ffcf60e2a9e135251b4f411300e903dce95d47989b24158e93bb3d,1,30,0,30
000027d1da96332efcb54af76906a7298121ebcccdab3d7dce999f8043e74ee7,1,0,0,0
0000237117863e534ceec544bc9460f09b542d48260c2e045174d03e65ad5c28,1,0,0,0
00002d74a9faa53f5199c910b652ef09d3a7f6bd42b693755a233635c3ffb0f4,1,2,0,2
000027f4b7f5bd3bb48921aacc816ef937a0c91bb6e9e4c423db1f524bcaf32e,1,40,0,40
0000511d5c2a99b303afd14d2acde3ebbad5c3426039679b25f24510a87b381c,1,0,0,0
00005b6b8fdd182a2f7ff41fe9738cdde5d39af500d60df38ae618bd76082cb5,1,2,0,2
00005be947a8f108382b59ced7d1e95871a68539c00ff53fd3e1d93c58e2ba6c,1,15,0,15
00006453637aaa1deb7938bff60fe146927ae1611e8fb0c1741f7c75cca1dc53,1,26,0,26
0000636f9c57d0adad87ffcfb4aa0ad71aefea915b4cd6267ee5de15e2de15a9,1,43,0,43
0000764713b286cfe7e8e76c7038c92312977712d9c5a86d504be54f3c1d025a,1,2,0,2
0000689bf34a969056e8190b4421945b098b890e1ea7001003a78bd13825b5db,1,25,0,25
000086eb3bd03827407aef16d67de013d4242d9910b0fc74bb77f8be486a1156,1,23,0,23
00009c58545b6b6fa22f5c2be900abb1b4029acf7ac57196d97fd1c0298886e2,1,20,0,20
00009ae5a877e56bb367d919f4393414bb49ffef94c84ae122f8c85a9ad522c3,1,3,0,3
000091f2fac1083dc578240acf9d24ede3ce7b9f9e517b37f44a2cdae0ff0fb3,1,0,0,0
0000a053de676b4d381cc35632d0e5ab67c098bd2c8fb55571750c07f888c465,1,0,0,0
0000c26310f1042ba3c2755a44addd13d1befb90ee1041b47585529eb3757c07,1,4,0,4
0000bbe0733122b3872576fb080df7fded864325f193b36acf0fcb9e0a74c5d8,1,19,0,19
0000a6d452d58424a8b7613f175af5937f590033616b808bf8c0445695f82541,1,5,0,5
0000b2ee9720dd6028e5cac22cb3689f1b67dd26113b30c3d2698c362809b892,1,1,0,1
0000bbba321e673b89da37baf825c9e28c66ba72535fb42d11f8b5c35ae53abb,1,71,0,71
003d2fd8ef8fc9d4765e4bbc650ecd20ef339be94606486629c003f683cb5982,1,2,0,2
018f8548c055a31d98201874ebf21591e6d85cb9eee66e8c35716a9289d01f48,1,0,0,0
0000d3e05cfad4c3f301f8b47986354aaca80ac236c5934ec287d91e3efc037b,1,21,0,21
00696116790f5c398de19e9184da0b32ac011bc30e9c18e14ca8ffd2c3dec7b8,1,4,0,4
022c88f2397b59ef6394db385163b1ed44c5a4b720f667ca3b91983b04f89433,1,2,0,2
016ab069253276cbface350265f0a2d5f10f38e3c7888dcc976698216c2bdeea,1,10,0,10
025ab95fa2b88dabc0894d575ae0b961f1b22c2da2adf1569c35ba1a7e776970,1,10,0,10
03385b42f9dffe697a883aac40042188e658145e8d67e0dab9d665501d7e02aa,1,0,0,0
4dfc06d393f3ec3d9ca91dd9c27a4e5dc1093b6bc2cf06ad1bd9bff7ba4c6063,1,0,0,0
03a2c97e0ed693d31b8974b2383f2ccb2b3d5a6046042e242085c9817855b1cb,1,0,0,0
07e47fbf43c585155ddcdae49c3330c00ceceedf6c9f98432cf631769a21b206,1,0,0,0
0400c00cbcc6834ade203f8d515f5932972a3861256a9a7ca0a46638eec2a83e,1,1,0,1
050d91cde706f7c981f90878dbd50d92038caeedd38852a10e018e57f188e79b,1,14,0,14
0526cff3ebb1fbfa493cf982fcba85409ae692157b25f9046469576bf58e8c4d,1,3,0,3
05a2da9df1b4aed78e16349c17443ccd83cb48ed9e38e38d0c0b6ce808a9c2a8,1,1,0,1
091870b3f90c9a98000e0d14a67be2db5891ce98a0b1e24b721e3d96241620a5,1,1,0,1
090a30252991830596c75a945885ca3100d7a40edf4a16d78abd5bbfd90ba268,1,1,0,1
090b5be26bcc4df6186124c2b47831eb96761fcf61282d63e13fa235a20c7539,1,13,0,13
0bfcd97d3b690babe1e96ec91af451e6f043edda34b9895e822c2e1ae2e21787,1,28,0,28
0bc98459a42d1d0108a882671f4496f214f8a68400810b9e034cdd7212f5a4fa,1,0,0,0
0a02bda89021ac18c0c57979ea3c9d82c1054b5c9b375975401e3e21a2f4905a,1,389,0,389
0a394ec6d7c750349a54d4893b83df31072900e804ce4845dcae763348c2e187,1,3,0,3
0be115e1e9b74780151148ea021f7d3e43ebc5e7dff808a890338f9e5a31427a,1,13,0,13
1035296bb576144475b684a9f703fc0220e8c0107a9e7e87c4bf76f72496b6c4,1,6,0,6
0c5f6f74735692fce876d86c95d36c74df88eec9647853590ee8ec9b1fabfce1,1,1,0,1
0e9cb2bb3435c2f4e5893b5a28982337f96621b11ddc48cb73c14ce7910f825a,1,28,0,28
0f021e137e7d3ef426d85f373f64ac53f1ee6c26efd2772cdc9ccb95ff09f9e4,1,2,0,2
0c8890bd550dd21cc5b0feb9ad101984e194719b2656ac904b7aefb35765b15f,1,2,0,2
0ca64e19e09d8af20a7a9269aca259da3406c5fd1c3627f92fb601af2c2d7d9a,1,6,0,6
10f2dcb4f070e9bf8182512e2c3de42d583aceecdcb606298e7e76175430e307,1,2,0,2
10c902a0bb9645ee71ae95528fe90580120e628db17dcdefe8bf7ad4b4bbfc01,1,42,0,42
aa12733db9b5b2110c799efd2b40840ee56d5764c70552c3f23d9e6d419cc9da,1,0,0,0
13055eb9348525e119e0012172f39727a870a420ee54ffe562ea42d6cb6724f4,1,18,0,18
11172b2f0ccaa49ab486b313bb61cfb8900126b15541540acf42ad73cf096133,1,12,0,12
14b005352c07490b3689ac4eb187eb68d2b50cd135e57e1bca2f3469b10e2dd5,1,4,0,4
13792ea5da63cc800e9c1cb1944d2ed66dedc2a2dfa940dbcd8828aa47c8b6ea,1,14,0,14
1370ba86f4c12ff1a8a0dd987b2be79a6ed13f7765e05b9711c544a7a2f288ea,1,2,0,2
14bafc31ee9bce174bca7df1c35d3b0ec11c573a1b0e3ecb1d5001409de1aeb5,1,19,0,19
149bde78b32be3c4c25379dd6c3310ce08eaf58804067a9870cfe7b4f51e62fe,1,10,0,10
1ba4bb9f0990697fa0c3b12ddf2d1f31ef385e14556c081f3f5e30dcbbf50f1a,1,3,0,3
1c2d4a388c3109001751caf2cee1d27516286f4d1ff51dbf271e85dfc069ce98,1,19,0,19
1d132dc563405dbf978a35664780790fd9972de17e5110864f5cbbec0c6ce016,1,28,0,28
1bbc9197e2b7a2090115a01d682934b79a88caa82d7c37ade39ae89a0f76129c,1,28,0,28
1f30b62c19be5de98456ec6915f1618da92cab68f20bf36cf91473788437f87a,1,0,0,0
1e7276097313eb4ede32eba76886e42696ecd2de41a1a7aeac5536ce717319c0,1,389,0,389
1d6640a63db2d4909aa9d1f8f6d4698abd89f2171c33240f0c821e2a94e0cec7,1,30,0,30
1dd0ccbb47e46144a5e68afc619098730f561741618d89200ac9c06c460bf6e4,1,2,0,2
1ff001f3ea8ef13d562b99b11cee7c1004abf7de486c38e9dddbaa2b64efd992,1,9,0,9
208e85cc66f2ee482dce1c6ee5f1ea45592e9fc9980c1b04b5157975d127dcf1,1,0,0,0
21ea92178eccae3f448345dcab84d98f21a6b32ea412265d858665973874b5df,1,3,0,3
2211e5b751634ef3681bff599b25d57f47f1593bc27aeb83273ee63a64d62e25,1,25,0,25
22670788ea0108e1e205f34e0a039f994bc94f19563b6f09784074b41f61cc53,1,26,0,26
238a4de3f693e8ae8506c72aab6838837a5fc92ae233c813404a1750204fa09d,1,1,0,1
21c91c4cb01c7fd286dc8fa6122f6c43a5227677ffbe3566aa37204cd9e494fe,1,1,0,1
23d0741fc039ce734de0a50d6d8451fc3eabf702b3f707badb6d39e2b4faea65,1,28,0,28
255eae7859b0855b15de30e5405a2714837ac556c238bc009ac74c5bfa69714a,1,0,0,0
27adebb28c7871e192407c86a69b9b1ec6a1b8ecaf535d96f88f00bb54423b26,1,0,0,0
269a98c5a2e16675eacd3490f382ac08d894737e629b92c1a69070cc471eed36,1,0,0,0
2cc755a2c9dae64ea5914bd32aa6824a3bc1f0e3be1f2d03c116ffc68f7772d0,1,0,0,0
2ab29825e9454a4b87d661dfc55842943e30b86600d2848796d96241e92307c2,1,0,0,0
2c74efb0e8304948e56f4ccb1ced6c05734842ecdc95628decacfa74d06baf6c,1,11,0,11
2bda9042eef834886047cb07ea1fe44844bd5d373c96afe96ec8a39e487d2bb7,1,30,0,30
3063914cc10de86a689070151a61172fc17619e71d1bd643a3d0cf94b84e10a8,1,0,0,0
326fc668fbf5dd4812b075fd963994e1378a0533637899eb07e639bcb9ecd733,1,7,0,7
32e4dee58ea17addc5df4ffb862ab3a8df1697598cb6437f92de4075665812c2,1,2,0,2
33d27a5f6b07557021fc4c7959bef4c0e7ee79cc3991e7e213de976b60af1147,1,6,0,6
315e29c580f1720dfc0f7ef7d48beeb3321f3bf343646e022420af119ad7a370,1,0,0,0
33d2ea973f861bb7c46397c4e0f9aedc37ef10fb8ab2f4090f35a335d86ef0b2,1,4,0,4
345bbac79d218919228838242d35fc475a7aab28d303d1d51ac6078cd59197d6,1,0,0,0
328ff57e39148daf440359709e92989aad445f1b41b3f33135238a9343317d85,1,13,0,13
352e2e2b57138099966a3a558f9eb3d6a88c27fa6d401f767b36e5cf3440f06a,1,7,0,7
3502fa570ada49eaeeaa4785bb1897ed91dfadaa76c5e8626c5b8e944d8f5f01,1,0,0,0
357d6a12b37bf72550d9df5035f25157d3ca75e1a69e71783586ee4759ee7b45,1,1,0,1
3504d9f2a2fdf021a382be4e2603acbdb5550ac2ddf26f62da1c2227b1f7f400,1,1,0,1
3779e67d696ba3ef4ba4b38ba10e07301620a45f1d89f004da5ae64f050dfdb4,1,0,0,0
379f0932084641fd8839b2101428a5c856f4d9c54dc9aff4a5d58a0de9a12595,1,38,0,38
36c25d77e5097eaec3b3b7fe879533d093e8cd40bce16aff601102838eb2a211,1,2,0,2
36158735c5442bb6a2f5432226403905551f360d7ce99fa51e9d2b54b7cd02e7,1,11,0,11
3a03b35a4c614d651954f8298d5bb75abe33223e0791bdc1b9bdb2af69d3009b,1,0,0,0
37c97fe776f0af6b21be6892124317461f75032f33944d933f1d046a90bd13be,1,18,0,18
3c81526bcb801d7dcfaea7f379528471d745a36e3c1bdc41877b4bed34b5dce6,1,1,0,1
399f5bddd1e30bb612522c9c770e073f5e304165df170c4668550de34f34f7c1,1,2,0,2
3c0edd3c80f917d0045ac51d177e9a4768df5a66517005b0f7944423aa54b089,1,0,0,0
388d7fd938e51455ad9ba27eae9ce01fcbadff8ab88d5a7e9e742cb28402f1e8,1,0,0,0
3c44fed6329931c17ffbbe8044b9181ab54cd9c5e9671c657e6f5a0882f5d59c,1,18,0,18
43f62b4cca7597f24772bf7edd005c3929b5e4d1bc821d5097a7d11ff02c0a93,1,0,0,0
412f959e050df1e74d732401f67210595b7db1c3dbd6e27c49fd1ee2bf8031b4,1,6,0,6
3cb4b373a24afb10b8003762e763e6b44008bdf9a58d0a9a2b80a5de68308ecd,1,1,0,1
4067054f202cc8e87557915783d4468b54985c5cc7b0b57df98ffbb106475196,1,7,0,7
44b5086d35b879afb9278392c230cdd0d16ac9b830cd44e75ece6ccf0fd4952c,1,2,0,2
3f76c482fdd58df5edd678e4730745e7cbafe298d0ebe0770ff962a3c2d6cf7f,1,13,0,13
3dfbecd41310db51f8aa31149d9e5619ed7799166f2e7a57b32c30d6633c82cb,1,1,0,1
44c68a4b47e80309bfd2ceb87ad3672cee1796da709a663b391c3678c29a0979,1,0,0,0
45d2031af6420768aef7c0d4a0b08063939abe88c27e0344cf9c787f73eb8f3e,1,10,0,10
47bb7f855cdf116c62499240089fa1b7a69585e8b7f639e192b9d038da4094cd,1,16,0,16
47a4aff5aaac505f213fb058e22cb5fecd03791c3f60ff9529b9f9befcbc2012,1,19,0,19
4dc2d4c59ca4e06b852ccbec728009a2a7a7e1e3f6cee65588d4d376b7f14a2d,1,44,0,44
4ccf02c87de6c0bf718d9f8cdf6c61a9edc909fab1cdd7d497572e30fea1f580,1,0,0,0
4e355df8f0843afc4a7bfc294ee4b1db9e9b896269c754c2d57dcb647dcd3efb,1,2,0,2
48f7ecd18cadc12914b89e91336b9885131d4151a9ed1975f6456e7951633583,1,19,0,19
4eb2ac595b1a17ddde607d55dc41d93896eeca3a01cd440b8953159bca3a418d,1,17,0,17
5010f34461e309ea1bc5539bb24fccc320576ce6d677a29604f5568c0a5e6315,1,0,0,0
4f181b3a42657a4c18a898d84108f7500baf243a2ac710adec1c5938cf0adb57,1,3,0,3
5030b673a6de2f1e1a83e3cb911fe053bdc38439d6a22ebad1c8a3a59d513205,1,0,0,0
51f9c37c3eec0b6f8325aa1c8fe64a0615ab920584042df557426473b1270b40,1,0,0,0
4fca2064417bf4c9e96131aaa59021a56f6d01c18d74d085cf01cb9e9c4e6e25,1,12,0,12
536a6084656a2d58e81a88ecfe0a0d050a4a5794f65cbc09170646c3e4c0dc0c,1,5,0,5
518f5438a21e9aa9a91f0dd589088e443fda111d8ada5ea67d1cf14d6645974c,1,0,0,0
537f08755139d0199fb1751068eb49a92b68e0d1dcadaf03758837c3832f99c5,1,0,0,0
554e71b4e5d2a172707b51edc8e0e22cba40858b69884e75228c12718c47e1ef,1,11,0,11
54f2a636e000c55bb725d7e552a22117837c1676fb4b96decd135ae10e6f7049,1,4,0,4
54ece852176437e02ce2400e48c5545d32a5d69adee4a66a337ba98c67aea94e,1,6,0,6
536cb0e2ffffa40d1ccd096eaaad43f094813bae15d8f6316dc35fb998d5e4cd,1,0,0,0
5494db78d03c9b3061c780520fc6713fa16cc8469c18ec9acb3d8eddff91964a,1,0,0,0
557c02b5e9ca8103e6ad5413df1b447fae5c9ce086a0b5330bf9c79a578585df,1,13,0,13
5606655728a5e64d3c2229deb831d087605a1362fd545dc5d7a93961bf1c7825,1,0,0,0
562c92478e7cf5790e6bd8d706c51d9178ea1bd58537575f03edbbb427f54fc9,1,2,0,2
58cc948bd809292143e604c3e03735c9517f94b37dd35299ca5e81d7b902d620,1,1,0,1
5af77b5f5d014162cd3bf43314ebb91f39658c5be335c1efff7c9564e298e719,1,0,0,0
584efe8d1449e1d03b30e08a9abf916c510628ae6950da11e195a22653190d48,1,10,0,10
5b6f0757e98303cf337d10b6f8c7378bdfd4de30dea624545207dd01a85b6c37,1,6,0,6
563bc028fac5f38f3849a3808bcba9cc41beeaf4b9ff771d383954beb1267e0b,1,1,0,1
5cad494f67808745489659cd077dce429fce364a673c44c9d238d14dcca81732,1,0,0,0
5e82d73a3b2d4df192d674729f9578c4081d5096d5e3641bf8b233e1bee248d4,1,9,0,9
