sha256,is_malware,source,family,file_size_kb,total_strings,num_encodings,num_payloads,num_c2,num_c2_real,num_c2_fb_ip,num_chains,num_secrets,secret_risk_score,num_permissions,num_dangerous_perms,target_sdk,min_sdk,apktool_success,native_libs_found,decompiled_classes,crypter_stub,master_key_verdict_recovered,master_key_e_coded
00000a7eacfd7e392ea3aaee14bec0224e62bf72823a8101f6717d704dce3a79,1,AndroZoo,Detected,7643.4,5231,23,23,5,4,0,23,0,0,14,6,0,0,1,0,3569,0,0,0
00001f58c32e40376f64cc88b70f8fad2fda054e0863abd5e41f4c6f18a65da2,1,AndroZoo,GinMaster,1478.9,872,1,1,12,12,0,1,0,0,8,4,0,0,1,0,322,0,0,0
0000237117863e534ceec544bc9460f09b542d48260c2e045174d03e65ad5c28,1,AndroZoo,Secapk,2869.4,151,0,0,0,0,0,0,0,0,95,39,0,0,1,0,14,0,0,1
000026e846ffcf60e2a9e135251b4f411300e903dce95d47989b24158e93bb3d,1,AndroZoo,Agent,688.2,1813,7,7,30,27,0,7,0,0,5,0,0,0,1,0,1226,0,0,0
000027d1da96332efcb54af76906a7298121ebcccdab3d7dce999f8043e74ee7,1,AndroZoo,AndroidOS,1709.4,1023,1,1,0,0,0,1,0,0,109,43,0,0,1,3,2,0,0,1
000027f4b7f5bd3bb48921aacc816ef937a0c91bb6e9e4c423db1f524bcaf32e,1,AndroZoo,Trojan ( 0001140e1 ),18766.0,12325,45,45,40,33,0,45,0,0,7,3,0,0,1,0,7648,0,0,0
00002d74a9faa53f5199c910b652ef09d3a7f6bd42b693755a233635c3ffb0f4,1,AndroZoo,GinMaster,233.2,377,1,1,2,2,0,1,0,0,11,2,0,0,1,0,146,0,0,0
0000511d5c2a99b303afd14d2acde3ebbad5c3426039679b25f24510a87b381c,1,AndroZoo,Android/Packed,3309.2,1316,0,0,0,0,0,0,0,0,12,5,0,0,1,1,8,0,0,1
00005b6b8fdd182a2f7ff41fe9738cdde5d39af500d60df38ae618bd76082cb5,1,AndroZoo,AndroidOS,12841.4,18997,80,80,2,2,0,80,0,0,34,10,0,0,1,33,231,0,0,1
00005be947a8f108382b59ced7d1e95871a68539c00ff53fd3e1d93c58e2ba6c,1,AndroZoo,Dowgin,19509.1,449,7,7,15,14,0,7,0,0,23,10,0,0,1,0,163,0,0,1
0000636f9c57d0adad87ffcfb4aa0ad71aefea915b4cd6267ee5de15e2de15a9,1,AndroZoo,AppRisk,10943.5,33171,145,145,43,31,0,145,0,0,130,27,0,0,1,21,17566,0,0,0
00006453637aaa1deb7938bff60fe146927ae1611e8fb0c1741f7c75cca1dc53,1,AndroZoo,Jiagu,33381.8,110770,31,31,26,0,2,31,1,10,6,2,0,0,1,3,9,0,0,1
0000689bf34a969056e8190b4421945b098b890e1ea7001003a78bd13825b5db,1,AndroZoo,Adware,18080.1,3154,3,3,25,23,0,3,0,0,11,6,0,0,1,2,915,0,0,0
0000716bf3c42807f4f7d11f983cbd0ad3a7bb60c60fceec2141c2df7ecdac03,1,AndroZoo,unknown,23460.5,2895,0,0,0,0,0,0,0,0,9,5,0,0,1,4,3,0,0,1
0000764713b286cfe7e8e76c7038c92312977712d9c5a86d504be54f3c1d025a,1,AndroZoo,FakeInst,136.1,67,0,0,2,2,0,0,0,0,12,5,0,0,1,0,27,0,0,0
000086eb3bd03827407aef16d67de013d4242d9910b0fc74bb77f8be486a1156,1,AndroZoo,Adware,1902.5,4802,0,0,23,20,0,0,0,0,4,2,0,0,1,0,4146,0,0,0
000091f2fac1083dc578240acf9d24ede3ce7b9f9e517b37f44a2cdae0ff0fb3,1,AndroZoo,Adware,2534.1,986,0,0,0,0,0,0,0,0,13,6,0,0,1,2,9,0,0,1
00009ae5a877e56bb367d919f4393414bb49ffef94c84ae122f8c85a9ad522c3,1,AndroZoo,Jiagu,24640.4,36883,12,12,3,0,0,12,0,0,36,10,0,0,1,20,9,0,0,1
00009c58545b6b6fa22f5c2be900abb1b4029acf7ac57196d97fd1c0298886e2,1,AndroZoo,Jiagu,27368.4,62674,500,500,20,16,2,500,0,0,39,11,0,0,1,17,10,0,0,1
0000a053de676b4d381cc35632d0e5ab67c098bd2c8fb55571750c07f888c465,1,AndroZoo,AndroidOS,7503.1,3935,0,0,0,0,0,0,0,0,16,6,0,0,1,4,2,0,0,1
0000a6d452d58424a8b7613f175af5937f590033616b808bf8c0445695f82541,1,AndroZoo,Adware,15183.7,35618,9,9,5,1,0,9,0,0,21,8,0,0,1,1,7,0,0,1
