sha256,source,family,is_malware,confidence,vt_detections,gt_reason,apk_path
00000a7eacfd7e392ea3aaee14bec0224e62bf72823a8101f6717d704dce3a79,AndroZoo,Detected,yes,low,2,vt_detected_1,D:\DroidForensix\samples\malware\androzoo\00000a7eacfd7e392ea3aaee14bec0224e62bf72823a8101f6717d704dce3a79.apk
00001f58c32e40376f64cc88b70f8fad2fda054e0863abd5e41f4c6f18a65da2,AndroZoo,Adware,yes,high,27,vt_consensus_27,D:\DroidForensix\samples\malware\androzoo\00001f58c32e40376f64cc88b70f8fad2fda054e0863abd5e41f4c6f18a65da2.apk
0000237117863e534ceec544bc9460f09b542d48260c2e045174d03e65ad5c28,AndroZoo,Secapk,yes,high,26,vt_consensus_26,D:\DroidForensix\samples\malware\androzoo\0000237117863e534ceec544bc9460f09b542d48260c2e045174d03e65ad5c28.apk
000026e846ffcf60e2a9e135251b4f411300e903dce95d47989b24158e93bb3d,AndroZoo,Agent,yes,medium,8,vt_detected_8,D:\DroidForensix\samples\malware\androzoo\000026e846ffcf60e2a9e135251b4f411300e903dce95d47989b24158e93bb3d.apk
000027d1da96332efcb54af76906a7298121ebcccdab3d7dce999f8043e74ee7,AndroZoo,AndroidOS,yes,high,38,vt_consensus_38,D:\DroidForensix\samples\malware\androzoo\000027d1da96332efcb54af76906a7298121ebcccdab3d7dce999f8043e74ee7.apk
000027f4b7f5bd3bb48921aacc816ef937a0c91bb6e9e4c423db1f524bcaf32e,AndroZoo,Trojan ( 0001140e1 ),yes,medium,5,vt_detected_5,D:\DroidForensix\samples\malware\androzoo\000027f4b7f5bd3bb48921aacc816ef937a0c91bb6e9e4c423db1f524bcaf32e.apk
00002d74a9faa53f5199c910b652ef09d3a7f6bd42b693755a233635c3ffb0f4,AndroZoo,GinMaster,yes,high,39,vt_consensus_39,D:\DroidForensix\samples\malware\androzoo\00002d74a9faa53f5199c910b652ef09d3a7f6bd42b693755a233635c3ffb0f4.apk
0000511d5c2a99b303afd14d2acde3ebbad5c3426039679b25f24510a87b381c,AndroZoo,Android/Packed,yes,high,12,vt_consensus_12,D:\DroidForensix\samples\malware\androzoo\0000511d5c2a99b303afd14d2acde3ebbad5c3426039679b25f24510a87b381c.apk
00005b6b8fdd182a2f7ff41fe9738cdde5d39af500d60df38ae618bd76082cb5,AndroZoo,AndroidOS,yes,medium,8,vt_detected_8,D:\DroidForensix\samples\malware\androzoo\00005b6b8fdd182a2f7ff41fe9738cdde5d39af500d60df38ae618bd76082cb5.apk
00005be947a8f108382b59ced7d1e95871a68539c00ff53fd3e1d93c58e2ba6c,AndroZoo,Dowgin,yes,high,27,vt_consensus_27,D:\DroidForensix\samples\malware\androzoo\00005be947a8f108382b59ced7d1e95871a68539c00ff53fd3e1d93c58e2ba6c.apk
0000636f9c57d0adad87ffcfb4aa0ad71aefea915b4cd6267ee5de15e2de15a9,AndroZoo,AppRisk,yes,medium,5,vt_detected_5,D:\DroidForensix\samples\malware\androzoo\0000636f9c57d0adad87ffcfb4aa0ad71aefea915b4cd6267ee5de15e2de15a9.apk
00006453637aaa1deb7938bff60fe146927ae1611e8fb0c1741f7c75cca1dc53,AndroZoo,Jiagu,yes,medium,9,vt_detected_9,D:\DroidForensix\samples\malware\androzoo\00006453637aaa1deb7938bff60fe146927ae1611e8fb0c1741f7c75cca1dc53.apk
0000689bf34a969056e8190b4421945b098b890e1ea7001003a78bd13825b5db,AndroZoo,Adware,yes,high,25,vt_consensus_25,D:\DroidForensix\samples\malware\androzoo\0000689bf34a969056e8190b4421945b098b890e1ea7001003a78bd13825b5db.apk
0000764713b286cfe7e8e76c7038c92312977712d9c5a86d504be54f3c1d025a,AndroZoo,FakeInst,yes,high,40,vt_consensus_40,D:\DroidForensix\samples\malware\androzoo\0000764713b286cfe7e8e76c7038c92312977712d9c5a86d504be54f3c1d025a.apk
000086eb3bd03827407aef16d67de013d4242d9910b0fc74bb77f8be486a1156,AndroZoo,Adware,yes,high,16,vt_consensus_16,D:\DroidForensix\samples\malware\androzoo\000086eb3bd03827407aef16d67de013d4242d9910b0fc74bb77f8be486a1156.apk
